ID,Names,Aliases,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7
Pin,PTA0,,TSI0_CH1,,TSI0_CH1,GPIOA_0,,TPM0_CH5,,,,SWD_CLK
Pin,PTA1,D0/ConRx,TSI0_CH2,GPIOA_1,TSI0_CH2,GPIOA_1,UART0_RX,TPM2_CH0,,,,
Pin,PTA2,D1/ConTx,TSI0_CH3,GPIOA_2,TSI0_CH3,GPIOA_2,UART0_TX,TPM2_CH1,,,,
Pin,PTA3,,TSI0_CH4,,TSI0_CH4,GPIOA_3,I2C1_SCL,TPM0_CH0,,,,SWD_DIO
Pin,PTA4,D4,TSI0_CH5,GPIOA_4,TSI0_CH5,GPIOA_4,I2C1_SDA,TPM0_CH1,,,,NMI_b
Pin,PTA5,D5,,GPIOA_5,,GPIOA_5,USB_CLKIN,TPM0_CH2,,,,
Pin,PTA12,D3,,GPIOA_12,,GPIOA_12,,TPM1_CH0,,,,
Pin,PTA13,D8,,GPIOA_13,,GPIOA_13,,TPM1_CH1,,,,
Pin,PTA14,,,,,GPIOA_14,SPI0_PCS0,UART0_TX,,,,
Pin,PTA15,,,,,GPIOA_15,SPI0_SCK,UART0_RX,,,,
Pin,PTA16,D28,,GPIOA_16,,GPIOA_16,SPI0_MOSI,,,SPI0_MISO,,
Pin,PTA17,D29,,GPIOA_17,,GPIOA_17,SPI0_MISO,,,SPI0_MOSI,,
Pin,PTA18,,EXTAL0,,EXTAL0,GPIOA_18,,UART1_RX,TPM_CLKIN0,,,
Pin,PTA19,,XTAL0,,XTAL0,GPIOA_19,,UART1_TX,TPM_CLKIN1,,LPTMR0_ALT1,
Pin,PTA20,,,,,GPIOA_20,,,,,,
Pin,PTB0,A0,ADC0_SE8/TSI0_CH0,ADC0_SE8/TSI0_CH0,ADC0_SE8/TSI0_CH0,GPIOB_0/LLWU_P5,I2C0_SCL,TPM1_CH0,,,,
Pin,PTB1,A1,ADC0_SE9/TSI0_CH6,ADC0_SE9/TSI0_CH6,ADC0_SE9/TSI0_CH6,GPIOB_1,I2C0_SDA,TPM1_CH1,,,,
Pin,PTB2,A2,ADC0_SE12/TSI0_CH7,ADC0_SE12/TSI0_CH7,ADC0_SE12/TSI0_CH7,GPIOB_2,I2C0_SCL,TPM2_CH0,,,,
Pin,PTB3,A3,ADC0_SE13/TSI0_CH8,ADC0_SE13/TSI0_CH8,ADC0_SE13/TSI0_CH8,GPIOB_3,I2C0_SDA,TPM2_CH1,,,,
Pin,PTB8,A20,,,,GPIOB_8,,EXTRG_IN,,,,
Pin,PTB9,A19,,,,GPIOB_9,,,,,,
Pin,PTB10,A18,,,,GPIOB_10,SPI1_PCS0,,,,,
Pin,PTB11,A17,,,,GPIOB_11,SPI1_SCK,,,,,
Pin,PTB16,,TSI0_CH9,,TSI0_CH9,GPIOB_16,SPI1_MOSI,UART0_RX,TPM_CLKIN0,SPI1_MISO,,
Pin,PTB17,,TSI0_CH10,,TSI0_CH10,GPIOB_17,SPI1_MISO,UART0_TX,TPM_CLKIN1,SPI1_MOSI,,
Pin,PTB18,LED_RED,TSI0_CH11,TPM2_CH0,TSI0_CH11,GPIOB_18,,TPM2_CH0,,,,
Pin,PTB19,LED_GREEN,TSI0_CH12,TPM2_CH1,TSI0_CH12,GPIOB_19,,TPM2_CH1,,,,
Pin,PTC0,D17,ADC0_SE14/TSI0_CH13,GPIOC_0,ADC0_SE14/TSI0_CH13,GPIOC_0,,EXTRG_IN,,CMP0_OUT,,
Pin,PTC1,A5,ADC0_SE15/TSI0_CH14,ADC0_SE15/TSI0_CH14,ADC0_SE15/TSI0_CH14,GPIOC_1/LLWU_P6/RTC_CLKIN,I2C1_SCL,,TPM0_CH0,,,
Pin,PTC2,A4,ADC0_SE11/TSI0_CH15,ADC0_SE11/TSI0_CH15,ADC0_SE11/TSI0_CH15,GPIOC_2,I2C1_SDA,,TPM0_CH1,,,
Pin,PTC3,D18,,,,GPIOC_3/LLWU_P7,,UART1_RX,TPM0_CH2,CLKOUT,,
Pin,PTC4,D19,,,,GPIOC_4/LLWU_P8,SPI0_PCS0,UART1_TX,TPM0_CH3,,,
Pin,PTC5,D20,,,,GPIOC_5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,,,CMP0_OUT,
Pin,PTC6,D21,CMP0_IN0,,CMP0_IN0,GPIOC_6/LLWU_P10,SPI0_MOSI,EXTRG_IN,,SPI0_MISO,,
Pin,PTC7,D16,CMP0_IN1,,CMP0_IN1,GPIOC_7,SPI0_MISO,,,SPI0_MOSI,,
Pin,PTC8,D6,CMP0_IN2,,CMP0_IN2,GPIOC_8,I2C0_SCL,TPM0_CH4,,,,
Pin,PTC9,D7,CMP0_IN3,,CMP0_IN3,GPIOC_9,I2C0_SDA,TPM0_CH5,,,,
Pin,PTC10,D22,,,,GPIOC_10,I2C1_SCL,,,,,
Pin,PTC11,D23,,,,GPIOC_11,I2C1_SDA,,,,,
Pin,PTC12,D24,,,,GPIOC_12,,,TPM_CLKIN0,,,
Pin,PTC13,D25,,,,GPIOC_13,,,TPM_CLKIN1,,,
Pin,PTC16,D26,,,,GPIOC_16,,,,,,
Pin,PTC17,D27,,,,GPIOC_17,,,,,,
Pin,PTD0,D10,,,,GPIOD_0,SPI0_PCS0,,TPM0_CH0,,,
Pin,PTD1,D13/LED_BLUE,ADC0_SE5b,TPM0_CH1,ADC0_SE5b,GPIOD_1,SPI0_SCK,,TPM0_CH1,,,
Pin,PTD2,D11,,,,GPIOD_2,SPI0_MOSI,UART2_RX,TPM0_CH2,SPI0_MISO,,
Pin,PTD3,D12,,,,GPIOD_3,SPI0_MISO,UART2_TX,TPM0_CH3,SPI0_MOSI,,
Pin,PTD4,D2,,,,GPIOD_4/LLWU_P14,SPI1_PCS0,UART2_RX,TPM0_CH4,,,
Pin,PTD5,D9,ADC0_SE6b,,ADC0_SE6b,GPIOD_5,SPI1_SCK,UART2_TX,TPM0_CH5,,,
Pin,PTD6,D32,ADC0_SE7b,,ADC0_SE7b,GPIOD_6/LLWU_P15,SPI1_MOSI,UART0_RX,,SPI1_MISO,,
Pin,PTD7,D33,,,,GPIOD_7,SPI1_MISO,UART0_TX,,SPI1_MOSI,,
Pin,PTE0,D15,,,,GPIOE_0,,UART1_TX,RTC_CLKOUT,CMP0_OUT,I2C1_SDA,
Pin,PTE1,D14,,,,GPIOE_1,SPI1_MOSI,UART1_RX,,SPI1_MISO,I2C1_SCL,
Pin,PTE2,A16,,,,GPIOE_2,SPI1_SCK,,,,,
Pin,PTE3,A15,,,,GPIOE_3,SPI1_MISO,,,SPI1_MOSI,,
Pin,PTE4,A14,,,,GPIOE_4,SPI1_PCS0,,,,,
Pin,PTE5,A13,,,,GPIOE_5,,,,,,
Pin,PTE20,A11,ADC0_DP0/ADC0_SE0,,ADC0_DP0/ADC0_SE0,GPIOE_20,,TPM1_CH0,UART0_TX,,,
Pin,PTE21,A10,ADC0_DM0/ADC0_SE4a,,ADC0_DM0/ADC0_SE4a,GPIOE_21,,TPM1_CH1,UART0_RX,,,
Pin,PTE22,A9,ADC0_DP3/ADC0_SE3,,ADC0_DP3/ADC0_SE3,GPIOE_22,,TPM2_CH0,UART2_TX,,,
Pin,PTE23,A8,ADC0_DM3/ADC0_SE7a,,ADC0_DM3/ADC0_SE7a,GPIOE_23,,TPM2_CH1,UART2_RX,,,
Pin,PTE24,ACCEL_SCL,,I2C0_SCL,,GPIOE_24,,TPM0_CH0,,I2C0_SCL,,
Pin,PTE25,ACCEL_SDA,,I2C0_SDA,,GPIOE_25,,TPM0_CH1,,I2C0_SDA,,
